Asset,Symbol,Value ($),Allocation (%),24h,Actions
Cardano (CB),ADA,0.044,0.00%,-0.63%,Edit | Delete
Dogecoin (CB),DOGE,0.058,0.00%,+0.03%,Edit | Delete
Ren (CB),REN,0.304,0.01%,+0.00%,Edit | Delete
NEAR Protocol (CB),NEAR,0.935,0.03%,+0.33%,Edit | Delete
Aleo (CB),ALEO,1.66,0.05%,+0.00%,Edit | Delete
XYO (CB),XYO,2.949,0.08%,+0.00%,Edit | Delete
Spell Token (CB),SPEL,3.03,0.09%,+0.00%,Edit | Delete
FLOKI (CB),FLOK,3.13,0.09%,+0.00%,Edit | Delete
IoTex (CB),IOTX,3.507,0.10%,+0.00%,Edit | Delete
Tezos (CB),XTZ,6.16,0.18%,+0.00%,Edit | Delete
vechain (CB),VET,14.162,0.40%,-0.91%,Edit | Delete
Pepe,PEPE,17.612,0.50%,+0.00%,Edit | Delete
Polygon Ecosystem Token (CB),POL,17.662,0.50%,+0.00%,Edit | Delete
SHIBA INU (CB),SHIB,26.494,0.75%,+0.79%,Edit | Delete
Bonk (CB),BONK,27.436,0.78%,+0.00%,Edit | Delete
Jasmy (CB),JASM,33.47,0.95%,+0.00%,Edit | Delete
Chainlink,LINK,37.623,1.07%,-3.92%,Edit | Delete
Hedera (CB),HBAR,46.109,1.31%,+0.00%,Edit | Delete
Algorand (CB),ALGO,62.526,1.78%,+0.00%,Edit | Delete
Stellar Lumens (CB),XLM,69.662,1.98%,-0.78%,Edit | Delete
Cosmos (CB),ATOM,87.185,2.48%,-0.22%,Edit | Delete
Cronos (CB),CRO,93.673,2.67%,-1.15%,Edit | Delete
Ethereum (CB),ETHE,233.16,6.64%,+0.00%,Edit | Delete
XRP (CB),XRP,237.86,6.78%,+0.00%,Edit | Delete
Solana (CB),SOLANA,355.943,10.14%,+0.38%,Edit | Delete
Bitcoin (CB),BITCOIN,421.698,12.02%,+0.17%,Edit | Delete
Tesla,T,73.32,2.09%,+0.00%,Edit | Delete
Nano-X Imaging,NANO,3.34,0.10%,+0.00%,Edit | Delete
PayPal,P,3.61,0.10%,+0.00%,Edit | Delete
MARA Holdings,MARA,5.9,0.17%,+0.00%,Edit | Delete
Strategy,Strategy,8.52,0.24%,+0.00%,Edit | Delete
Block,BLOCK,16.84,0.48%,+0.00%,Edit | Delete
Lam Research,LAM,27.04,0.77%,+0.00%,Edit | Delete
Nokia,NOKIA,30.69,0.87%,+0.00%,Edit | Delete
Axon Enterprise,Axon,31.27,0.89%,+0.00%,Edit | Delete
Coinbase,Coinbase,35.46,1.01%,+0.00%,Edit | Delete
GE Vernova,GE,37.3,1.06%,+0.00%,Edit | Delete
Alphabet Inc. Class A,G,43.96,1.25%,+0.00%,Edit | Delete
Energy ETF Vanguard,V,44.25,1.26%,+0.00%,Edit | Delete
NIO,NIO,46.12,1.31%,+0.00%,Edit | Delete
Vanguard Total International Stock ETF,V,52.71,1.50%,+0.00%,Edit | Delete
Vanguard Long-Term Corporate Bond ETF,V,53.3,1.52%,+0.00%,Edit | Delete
Advance Micro Devices,AMD,63.37,1.81%,+0.00%,Edit | Delete
Plug Power,P,64.8,1.85%,+0.00%,Edit | Delete
Vanguard S&P 500 ETF,V,75.7,2.16%,+0.00%,Edit | Delete
VanEck Gold Miners ETF,VE,95.75,2.73%,+0.00%,Edit | Delete
Cash,$cash$,200.0,5.70%,+0.00%,Edit | Delete
NVIDIA,NVIDIA,258.69,7.37%,+0.00%,Edit | Delete
Palantir Technologies,Palantir Technologies,267.91,7.63%,+0.00%,Edit | Delete
